GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mosip-identity-plugin,io.mosip.esignet.plugin.ida.helper,AuthTransactionHelper,4,66,0,0,2,15,1,3,1,3
mosip-identity-plugin,io.mosip.esignet.plugin.ida.helper,AuthTransactionHelper.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
mosip-identity-plugin,io.mosip.esignet.plugin.ida.helper,VCITransactionHelper,0,24,0,2,0,4,0,3,0,2
mosip-identity-plugin,io.mosip.esignet.plugin.ida.service,IdaKeyBinderImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
mosip-identity-plugin,io.mosip.esignet.plugin.ida.service,IdaAuthenticatorImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
mosip-identity-plugin,io.mosip.esignet.plugin.ida.service,IdaAuditPluginImpl,5,236,3,13,2,55,3,11,0,6
mosip-identity-plugin,io.mosip.esignet.plugin.ida.service,IdaVCIssuancePluginImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
mosip-identity-plugin,io.mosip.esignet.plugin.ida.service,IdaAuthenticatorImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
mosip-identity-plugin,io.mosip.esignet.plugin.ida.service,HelperService.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
mosip-identity-plugin,io.mosip.esignet.plugin.ida.service,IdaAuthenticatorImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
mosip-identity-plugin,io.mosip.esignet.plugin.ida.service,IdaAuthenticatorImpl,63,504,15,23,13,93,16,12,2,7
mosip-identity-plugin,io.mosip.esignet.plugin.ida.service,IdaAuditPluginImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
mosip-identity-plugin,io.mosip.esignet.plugin.ida.service,IdaVCIssuancePluginImpl,34,317,8,14,6,73,9,13,1,10
mosip-identity-plugin,io.mosip.esignet.plugin.ida.service,IdaKeyBinderImpl,37,318,5,13,9,60,6,8,1,4
mosip-identity-plugin,io.mosip.esignet.plugin.ida.service,HelperService,83,406,9,17,24,88,10,22,2,15
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,Error,103,21,22,0,1,4,17,4,6,4
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,ClientIdSecretKeyRequest,155,12,30,0,5,1,26,1,11,1
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,IdaKycAuthRequest.Biometric,197,38,46,0,0,6,27,11,4,11
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,KeyBindingResponse,118,24,26,0,0,4,17,7,4,7
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,IdaVcExchangeResponse,65,10,14,0,0,2,11,3,4,3
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,AuditResponse,62,0,10,0,2,0,12,0,7,0
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,IdaResponseWrapper,246,29,54,0,4,3,36,8,9,8
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,IdaKycAuthRequest,563,99,130,0,0,17,73,29,8,29
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,IdaKycAuthResponse,118,24,26,0,0,4,17,7,4,7
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,IdaSendOtpResponse,251,24,54,0,3,4,37,7,10,7
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,IdaOtpResponse,98,17,22,0,0,3,15,5,4,5
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,IdaKycExchangeRequest,356,39,78,0,9,1,52,10,13,10
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,IdaVcExchangeRequest,432,43,94,0,11,1,63,11,16,11
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,IdaKycAuthRequest.AuthRequest,234,41,54,0,0,7,32,12,5,12
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,KeyBindedToken,155,0,30,0,4,0,26,0,11,0
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,AuditRequest,659,67,134,0,17,2,88,17,21,17
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,KeyBindingRequest.IdentityKeyBinding,98,17,22,0,0,3,15,5,4,5
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,CredentialDefinitionDTO,140,15,30,0,3,1,22,4,7,4
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,KeyBindingRequest,65,10,14,0,0,2,11,3,4,3
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,GetAllCertificatesResponse,65,10,14,0,0,2,11,3,4,3
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,IdaKycExchangeResponse,65,10,14,0,0,2,11,3,4,3
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,IdaError,131,24,30,0,0,4,20,6,5,6
mosip-identity-plugin,io.mosip.esignet.plugin.ida.dto,IdaSendOtpRequest,267,48,62,0,0,8,36,14,5,14
